Country Name,World Rank,Region Rank,2020 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
Afghanistan,136.0,33.0,54.7,48.3,30.0,24.8,91.4,79.2,99.9,54.7,61.6,81.0,66.0,10.0,10.0,7.0,20.0,20.0,7.6,26.329666666666668,36.02,72.648,2.3,2.2,2016.89,1.5,0.626,139.2,7.079
Albania,57.0,30.0,66.9,57.1,33.0,38.8,85.9,74.6,86.3,65.7,52.1,81.2,88.4,70.0,70.0,0.8,23.0,15.0,25.7,29.082666666666665,2.874,38.356,4.162,3.1,13344.54,13.9,2.029,1293.61772447739,68.59
Algeria,169.0,14.0,46.9,37.9,35.0,28.3,75.4,52.6,17.3,63.0,50.5,76.2,66.2,30.0,30.0,9.4,35.0,23.0,26.6,39.76166666666666,42.582,657.462,2.059,2.8,15439.92,12.2,4.27,1506.31688577439,36.872
Angola,154.0,35.0,52.2,36.9,14.3,15.1,87.3,85.7,71.9,57.7,61.1,59.6,66.2,30.0,40.0,9.4,17.0,30.0,9.223777453718249,21.833666666666662,29.25,199.319,-1.699,0.3,6814.33,7.3,19.629,-5732.491,88.087
Argentina,149.0,26.0,53.1,50.5,47.0,49.7,69.6,50.7,24.7,60.2,46.5,53.7,69.2,55.0,60.0,7.9,35.0,30.0,30.3,40.543,44.56,915.125,-2.515,-0.3,20537.06,9.5,34.277,12161.837,86.289
Armenia,34.0,18.0,70.6,60.7,54.1,43.4,84.9,80.6,68.8,81.0,72.5,76.0,80.6,75.0,70.0,2.2,26.0,20.0,20.8,25.409333333333336,2.991,30.438,5.028,3.9,10176.09,17.7,2.522,254.262,48.493
Australia,4.0,4.0,82.6,82.8,86.1,89.3,63.0,61.6,91.8,87.8,84.0,86.2,88.2,80.0,90.0,0.9,45.0,30.0,27.8,35.79870010326667,25.168,1318.153,2.811,2.6,52373.46,5.4,1.979,60438.13181312154,40.672
Austria,29.0,16.0,73.3,87.3,73.2,84.0,51.3,27.2,87.9,73.0,68.3,81.0,86.4,90.0,70.0,1.8,50.0,25.0,41.8,49.261296555600005,8.885,463.22,2.713,1.8,52137.43,4.8,2.119,7618.21905357712,74.243
Azerbaijan,44.0,24.0,69.3,67.1,53.9,38.7,88.0,63.0,99.2,80.8,66.2,69.8,74.6,70.0,60.0,5.2,25.0,20.0,13.3,35.10666666666667,9.94,179.673,1.352,0.4,18075.9,5.2,2.3,1403.0,19.382
Bahamas,69.0,13.0,64.5,54.9,46.4,46.0,96.8,87.4,69.2,69.0,70.0,76.3,47.8,50.0,60.0,18.6,0.0,0.0,17.9,20.46166666666667,0.377,12.612,2.3,0.6,33494.19,11.9,2.249,942.8,60.965
Bahrain,63.0,4.0,66.3,70.6,48.4,51.0,99.4,66.1,2.6,70.5,71.1,81.1,79.4,75.0,80.0,7.8,0.0,0.0,7.8,33.63033333333333,1.481,74.146,1.829,3.3,50056.5,1.0,2.1,1515.159574468085,93.373
Bangladesh,122.0,29.0,56.4,41.0,36.1,26.6,72.7,94.3,76.8,52.3,68.4,70.0,63.6,45.0,30.0,10.7,25.0,45.0,9.1,13.740666666666664,164.877,761.699,7.727,7.1,4619.79,4.3,5.564,3613.3,34.759
Barbados,92.0,17.0,61.4,56.6,36.1,44.0,73.6,69.2,63.1,69.4,60.0,77.9,56.6,70.0,60.0,14.2,40.0,5.5,31.8,32.023,0.286,5.309,-0.5,0.7,18534.3,9.6,3.632,195.096,124.536
Belarus,88.0,41.0,61.7,63.2,48.4,37.4,88.8,54.1,95.4,76.4,74.8,69.8,82.0,30.0,20.0,1.5,13.0,18.0,25.1,39.10233333333333,9.457,189.178,3.031,0.2,20003.03,5.7,4.867,1469.4,47.831
Belgium,48.0,26.0,68.9,84.5,62.5,80.2,46.7,17.2,77.0,75.2,61.1,80.5,86.4,85.0,70.0,1.8,50.0,29.0,44.6,52.53379595216666,11.411,550.501,1.434,1.5,48244.66,6.3,2.311,4872.578760372526,101.387
Belize,111.0,22.0,57.4,44.4,46.4,33.5,79.5,66.3,53.9,60.9,54.3,80.4,64.2,55.0,50.0,10.4,25.0,25.0,28.2,33.51833333333333,0.396,3.365,3.035,2.2,8500.93,9.4,0.294,119.5415,94.75
Benin,133.0,24.0,55.2,41.3,36.4,29.6,69.0,84.2,46.6,58.0,53.7,84.3,49.4,60.0,50.0,17.8,45.0,30.0,13.2,22.969666666666665,11.423,27.718,6.545,5.0,2426.48,2.1,1.04,207.5108549980097,54.645
Bhutan,85.0,17.0,62.1,69.9,46.4,51.2,82.9,71.1,74.8,68.2,79.4,71.6,79.4,20.0,30.0,2.8,25.0,30.0,13.6,31.052333333333333,0.817,7.794,5.782,6.1,9539.64,2.2,3.647,5.901431953599944,102.588
Bolivia,175.0,30.0,42.8,20.1,11.2,23.1,86.3,54.2,14.2,58.3,52.9,69.9,67.8,15.0,40.0,6.1,13.0,25.0,23.9,39.059999999999995,11.248,84.099,4.3,4.6,7476.94,3.3,2.326,255.083,53.92
