,2020 Score,5 Year GDP Growth Rate (%),Business Freedom,Corporate Tax Rate (%),FDI Inflow (Millions),Financial Freedom,Fiscal Health,"GDP (Billions, PPP)",GDP Growth Rate (%),GDP per Capita (PPP),Gov't Expenditure % of GDP ,Gov't Spending,Government Integrity,Income Tax Rate (%),Inflation (%),Investment Freedom ,Judical Effectiveness,Labor Freedom,Monetary Freedom,Population (Millions),Property Rights,Public Debt (% of GDP),Region Rank,Tariff Rate (%),Tax Burden,Tax Burden % of GDP,Trade Freedom,Unemployment (%),World Rank
World Rank,-0.9647901264776348,-0.05171298771017154,-0.7659659190919903,0.38502584174950977,-0.18696445555102914,-0.7944394520908816,-0.5420878381745268,-0.11377592295149294,-0.11033964029444021,-0.6655994824524033,-0.09727198418910016,0.14627229445792814,-0.8155264144635515,0.0057206376406786375,0.129137341269474,-0.7522274787426614,-0.7675582919676832,-0.4760708297952952,-0.4502511722545143,0.04509549325316663,-0.8754993796461616,0.09612467314444118,0.6949015259652253,0.6030835481708663,0.07014156770592728,-0.40380683262513933,-0.7241187110377384,0.07056766816686814,1.0000000000000002
Region Rank,-0.6868257214027699,-0.10852846187094413,-0.5241318439583699,0.1940390690486457,-0.13581572710597814,-0.5811387786635951,-0.2536244394057772,-0.08516867169226475,-0.058676505455069056,-0.45003688628012956,0.1343082672283676,-0.13086892111942247,-0.5429244028505108,-0.0037653020739751093,0.06853795506634375,-0.534198118357402,-0.5660825710454865,-0.4117350778205872,-0.2758965588914384,0.018571767781083943,-0.5611427402108732,0.09542529456695911,1.0,0.28968722226684224,-0.05129593501134886,-0.012482446390213287,-0.3972692655477532,0.10621849320687878,0.6949015259652253
2020 Score,0.9999999999999999,0.12152350901381521,0.7918290277758518,-0.3664621798199718,0.21522669934743321,0.8066608936626268,0.5521388052379363,0.11308049266386262,0.1779564964100208,0.6537018954938673,0.04351649050335472,-0.08869900528686585,0.8106172476326039,-0.016437738269365683,-0.2642013448810564,0.7639975928010097,0.7924740232489225,0.5243097107998633,0.5340035461889117,-0.03817423928741767,0.8845292738678165,-0.1339499225325357,-0.6868257214027699,-0.5659410495483027,-0.040232197824020675,0.3455872724171015,0.697823664598502,-0.08209824771845173,-0.9647901264776348
Property Rights,0.8845292738678165,0.03559050496225961,0.79300318165095,-0.34735019394195427,0.2430094083528036,0.719467762573716,0.34498353676742194,0.17336155774136464,0.0831046499062383,0.6806932650054566,0.2884815655389998,-0.3381791904551898,0.8886212338540012,0.09244395892928342,-0.1976066424454371,0.6753113948153805,0.8483330771048943,0.442443905822313,0.49925095962424376,0.022351865800512478,1.0,0.012753201581099946,-0.5611427402108732,-0.5164828309622168,-0.2001035497169686,0.4961682670985482,0.6416391104045046,-0.07009106656203325,-0.8754993796461616
Judical Effectiveness,0.7924740232489225,0.00035187674697743487,0.7094214078797133,-0.24647220282706125,0.3195462520609574,0.6084995620842086,0.24892983056451198,0.30045333787188505,0.04744506665658724,0.6517583670816359,0.21797292089558012,-0.26981025379256485,0.8330973259825319,0.131938883305931,-0.13823421078162965,0.5526456903920368,1.0000000000000002,0.41540827807464603,0.3795925002479332,0.1594705406921484,0.8483330771048943,0.0024928163267301383,-0.5660825710454865,-0.4204199560273154,-0.2201548996309907,0.3816742256293351,0.5276772881515402,-0.049071467863387584,-0.7675582919676832
Government Integrity,0.8106172476326039,-0.05887475589236263,0.7277734662772543,-0.3102620380761445,0.24719396134484678,0.6981475942863153,0.3008703300533757,0.1774537150987055,-0.02670525237326735,0.7351530383583632,0.3596559302432457,-0.44700922020364403,0.9999999999999999,0.1905253971667076,-0.10722312702283827,0.6383219167808928,0.8330973259825319,0.3661653149212766,0.4088354448732814,0.006107006749046412,0.8886212338540012,0.08757862787887409,-0.5429244028505108,-0.5276539619444249,-0.3289234617701934,0.5773614120040408,0.6369790490814808,-0.07178025199358444,-0.8155264144635515
Tax Burden,-0.040232197824020675,0.14721445293608004,-0.02682336539493798,-0.5257778879971445,-0.09436729687380882,-0.15846883370611484,-0.06801173768268594,-0.10335709268661836,0.14167208993873803,-0.10647769296863897,-0.28396246255847524,0.34948298678900735,-0.3289234617701934,-0.8839308050603498,-0.03168888963606956,-0.2401553127788662,-0.2201548996309907,0.14618365537557337,-0.11889955446627276,-0.043740826029454866,-0.2001035497169686,-0.22032975619397585,-0.05129593501134886,0.011423531333189595,1.0000000000000002,-0.5767371630835725,-0.0349202610402071,-0.03954680560041694,0.07014156770592728
Gov't Spending,-0.08869900528686585,0.287356856288804,-0.24106554038671527,0.19006651279803277,-0.052801584464036405,-0.1847077030631411,-0.008894210069896059,-0.04514182245307953,0.2524886989170945,-0.2881025875885933,-0.9266723209838503,1.0000000000000002,-0.44700922020364403,-0.12116702650888588,-0.0010360938528973399,-0.19045010941458707,-0.26981025379256485,-0.061101684336618875,-0.20840464212408882,0.07354628088188353,-0.3381791904551898,-0.10334178991017336,-0.13086892111942247,0.21138932529941606,0.34948298678900735,-0.6454903031475466,-0.21640890436788027,-0.164745881249412,0.14627229445792814
Fiscal Health,0.5521388052379363,0.1519651055414196,0.2815881494351176,-0.1389759370678745,-0.020547272194897683,0.27939183601614376,1.0,-0.046412992278689516,0.12989148216011828,0.24680974828896624,0.011156033288704452,-0.008894210069896059,0.3008703300533757,0.05644584647555793,-0.17384380480201947,0.29045452678656003,0.24892983056451198,0.14479180242819012,0.25164741506625743,-0.11306780707250498,0.34498353676742194,-0.4001869689081893,-0.2536244394057772,-0.21158963380914517,-0.06801173768268594,0.16483511303519532,0.26445672031084955,-0.08201907274639413,-0.5420878381745268
Business Freedom,0.7918290277758518,-0.0007224440536920378,1.0,-0.36269048441548596,0.2526641292963609,0.576404188994115,0.2815881494351176,0.20146625956244235,0.011687170055676816,0.5400263116385222,0.1812647834455774,-0.24106554038671527,0.7277734662772543,-0.03188510517567375,-0.16704403258550643,0.5152107550747289,0.7094214078797133,0.4804464979775316,0.375190094746781,0.06253850025696235,0.79300318165095,-0.007534059549769726,-0.5241318439583699,-0.4808407519117167,-0.02682336539493798,0.37525424134176644,0.5845308817957509,0.005997939828085046,-0.7659659190919903
Labor Freedom,0.5243097107998633,0.06541113599242963,0.4804464979775316,-0.18487227871125678,0.17112545980273272,0.2956973100525399,0.14479180242819012,0.07890173212559372,0.0833248108684623,0.273127500916413,0.07696496832243757,-0.061101684336618875,0.3661653149212766,-0.18816660414984088,-0.17319420865701335,0.2308875562078332,0.41540827807464603,1.0000000000000002,0.3214569307037516,-0.051870556993054456,0.442443905822313,-0.08686882012592584,-0.4117350778205872,-0.20619902375439678,0.14618365537557337,0.05860044998231179,0.2697588650229956,0.04392303074137324,-0.4760708297952952
Monetary Freedom,0.5340035461889117,0.24509544714352294,0.375190094746781,-0.1680906776140253,0.03546401654148619,0.44063376159777556,0.25164741506625743,-0.025288560947560938,0.32754099944583254,0.26612943218767215,0.20379109745257823,-0.20840464212408882,0.4088354448732814,0.04958039735093588,-0.6336910286058195,0.48713434618952395,0.3795925002479332,0.3214569307037516,0.9999999999999998,-0.09786146878781526,0.49925095962424376,-0.09489714428614622,-0.2758965588914384,-0.18552752384183974,-0.11889955446627276,0.25096954735581056,0.2587758271554384,0.039986351937062264,-0.4502511722545143
Trade Freedom,0.697823664598502,0.016335944783197977,0.5845308817957509,-0.3180036772589395,0.1602692347372797,0.609044603916854,0.26445672031084955,0.08273307704188523,0.08187999484706626,0.5478184431834928,0.08238967541885908,-0.21640890436788027,0.6369790490814808,-0.05881623528082539,-0.10352231391677551,0.5580515835714279,0.5276772881515402,0.2697588650229956,0.2587758271554384,-0.014247024723767302,0.6416391104045046,-0.04758998439884365,-0.3972692655477532,-0.9611623266982986,-0.0349202610402071,0.41928961021587924,0.9999999999999998,-0.09261492613894826,-0.7241187110377384
Investment Freedom ,0.7639975928010097,-0.004727420164412832,0.5152107550747289,-0.171843440961044,0.1078404200741493,0.8022181979413214,0.29045452678656003,-0.020318435168619052,0.10662133168916799,0.48599162953003655,0.1274221712654749,-0.19045010941458707,0.6383219167808928,0.150536159442704,-0.20512977951239336,1.0000000000000002,0.5526456903920368,0.2308875562078332,0.48713434618952395,-0.1557425275804611,0.6753113948153805,0.02117225323209623,-0.534198118357402,-0.421914435565622,-0.2401553127788662,0.4683105932213729,0.5580515835714279,0.035445663928461116,-0.7522274787426614
Financial Freedom,0.8066608936626268,0.0009002203354041557,0.576404188994115,-0.28969029656358614,0.2023524883995859,0.9999999999999999,0.27939183601614376,0.054308772278383884,0.09952506371665681,0.6009107479972698,0.14223642384623003,-0.1847077030631411,0.6981475942863153,0.07600333239007324,-0.1553872990300857,0.8022181979413214,0.6084995620842086,0.2956973100525399,0.44063376159777556,-0.09367510401676059,0.719467762573716,0.013087646350042998,-0.5811387786635951,-0.48382633043454165,-0.15846883370611484,0.403598402560372,0.609044603916854,-0.044495787054839,-0.7944394520908816
Tariff Rate (%),-0.5659410495483027,0.009902527564225171,-0.4808407519117167,0.27795272752767625,-0.1629136455401594,-0.48382633043454165,-0.21158963380914517,-0.12364046202063658,-0.04304872519339029,-0.4608131890779286,-0.06968980610704398,0.21138932529941606,-0.5276539619444249,0.08005033082349841,0.07707759937798406,-0.421914435565622,-0.4204199560273154,-0.20619902375439678,-0.18552752384183974,-0.029048662881913347,-0.5164828309622168,0.05885376142843028,0.28968722226684224,1.0,0.011423531333189595,-0.3686510509512001,-0.9611623266982986,0.08374994875276952,0.6030835481708663
Income Tax Rate (%),-0.016437738269365683,-0.014267040908642323,-0.03188510517567375,0.5414045689071845,0.15372523374046068,0.07600333239007324,0.05644584647555793,0.1566825170911136,-0.07428270805270457,-0.05581409113360804,0.09612811062456593,-0.12116702650888588,0.1905253971667076,1.0,0.03135846791581214,0.150536159442704,0.131938883305931,-0.18816660414984088,0.04958039735093588,0.11242746784080528,0.09244395892928342,0.22930553678074345,-0.0037653020739751093,0.08005033082349841,-0.8839308050603498,0.3196921348871661,-0.05881623528082539,-0.004184501766988769,0.0057206376406786375
