,2020 Score,5 Year GDP Growth Rate (%),Business Freedom,Corporate Tax Rate (%),FDI Inflow (Millions),Financial Freedom,Fiscal Health,"GDP (Billions, PPP)",GDP Growth Rate (%),GDP per Capita (PPP),Gov't Expenditure % of GDP ,Gov't Spending,Government Integrity,Income Tax Rate (%),Inflation (%),Investment Freedom ,Judical Effectiveness,Labor Freedom,Monetary Freedom,Population (Millions),Property Rights,Public Debt (% of GDP),Region Rank,Tariff Rate (%),Tax Burden,Tax Burden % of GDP,Trade Freedom,Unemployment (%),World Rank
World Rank,-522.2264044943822,-6.828651685393259,-595.9483146067413,180.5651685393259,-265692.28646535863,-777.7528089887636,-844.4483146067416,-15534.76708426966,-17.148685393258422,-806233.8914157306,-64.40556251279565,166.0112359550562,-888.8449438202249,3.979213483146072,465028.9320617976,-828.7640449438202,-722.3657303370786,-344.3129213483144,-208.78426966292142,347.59889887640486,-818.4685393258428,172.10114606741564,457.0449438202247,153.79382022471904,42.90168539325843,-213.58988759585097,-444.7640449438204,21.402808988764047,2685.0
Region Rank,-91.06759776536308,-3.5105109534869126,-99.89207833783192,22.290747599020783,-47278.24136413868,-139.36444667629152,-96.78005461050789,-2848.56154001632,-2.233854403364508,-133532.67205825116,21.783602439153427,-36.3834002887452,-144.95015692674653,-0.641569895172933,60457.56183764358,-144.17017136400722,-130.5019207833783,-72.94423451133012,-31.33866988889587,35.06629229175819,-128.50228485343047,41.85079853744275,161.11166907287674,18.095979536752235,-7.685518799824244,-1.6173279315183342,-59.771784570962275,7.8914443537756584,457.0449438202247
2020 Score,109.12083045634292,3.235022597451511,124.19732847906599,-34.646147134517584,61659.177730556235,159.20381645847718,173.39372104701528,3112.603182402235,5.575640989266211,159628.15917529658,5.808595745047237,-20.29438265017891,178.10885035465438,-2.3050298160818543,-191798.33958401857,169.68966166593432,150.35313508254345,76.44539639696184,49.91933023664553,-59.31947901889401,166.70170610758893,-48.347390600087884,-91.06759776536308,-29.094726947460916,-4.9608298286359895,36.85076006205739,86.40667252526522,-5.019732596823801,-522.2264044943822
Property Rights,166.70170610758893,1.6363316803716035,214.82060573724183,-56.717032766304676,120238.85801987087,245.2415102630092,187.11286014688335,8241.552649962334,4.497036899755193,287078.97453022393,66.5051881968287,-133.63620896365578,337.2147156487352,22.388922540957875,-247760.19245798755,259.05241353336265,277.9803038101814,111.41452796434618,80.60531667817463,59.98751747536251,325.4977609691795,7.95005198355407,-128.50228485343047,-45.85842665243861,-42.61431736865231,91.37720435471546,137.21847467202312,-7.401666875902332,-818.4685393258428
Judical Effectiveness,150.35313508254345,0.01628648546858321,193.46611731843575,-40.51478344108968,159167.7590584744,208.80578745841453,135.91951917644843,14379.139227292699,2.584590876278953,276717.20781783323,50.587081365664346,-107.33351107902827,318.26229583830263,32.1682237461553,-174479.79686186052,213.41747222396586,329.87335948779105,105.30727449626517,61.69671238465883,430.85108787270104,277.9803038101814,1.5643741949658099,-130.5019207833783,-37.57908511706735,-47.198556587784815,70.7622011684658,113.60299479003204,-5.216696064277195,-722.3657303370786
Government Integrity,178.10885035465438,-3.1557902830958504,229.8471119201556,-59.06312529031448,142594.0612344965,277.44168602096545,190.2507843198795,9835.199168382396,-1.6847661948402461,361467.7164602036,96.66438952032634,-205.93756543845336,442.4168489109283,53.79592257234323,-156732.94198618413,285.4730713702843,318.26229583830263,107.49855752934532,76.95469964220705,19.108092476931784,337.2147156487352,63.64887137342289,-144.95015692674653,-54.620326407632916,-81.66527368024603,123.96482239221734,158.81398154541446,-8.837179398656707,-888.8449438202249
Tax Burden,-4.9608298286359895,4.428334065658154,-4.754085744774342,-56.1695586592179,-30548.93028363725,-35.34103320569958,-24.13469838679302,-3214.7652040581243,5.0157763699705,-29380.643467230555,-42.830301535331834,90.35580158182157,-81.66527368024603,-140.06372261628277,-25994.995717823756,-60.27379009478376,-47.198556587784815,24.084362877408825,-12.559656016571468,-76.80452826564552,-42.61431736865231,-89.86211492373361,-7.685518799824244,0.6636152783880479,139.33283723557835,-69.49275929732151,-4.885983302994165,-2.7323165526332307,42.90168539325843
Gov't Spending,-20.29438265017891,16.039396145879113,-79.28032138597702,37.677391186993916,-31717.428610297586,-76.43581696064277,-5.856550750109838,-2605.341073849727,16.58717140480823,-147511.66085413343,-259.35397759913457,479.7406597200426,-205.93756543845336,-35.62610711819724,-1577.096794225109,-88.69396145879105,-107.33351107902827,-18.679534555269605,-40.84900006277072,239.62773649802295,-133.63620896365578,-78.20886526269541,-36.3834002887452,22.786392567949278,90.35580158182157,-144.32044705683396,-56.18574540204638,-21.120816019082284,166.0112359550562
Fiscal Health,173.39372104701528,11.642287678111858,127.10792888079844,-37.81314751114178,-16940.77172815467,158.6914820161948,903.7795882242172,-3676.6565851107957,11.712215667566381,173448.08262444282,4.285529841652865,-5.856550750109838,190.2507843198795,22.779485437197927,-363200.52758531785,185.66026928629717,135.91951917644843,60.75539419998744,67.70091143054421,-505.6422310652189,187.11286014688335,-415.6913126294646,-96.78005461050789,-31.305086623564108,-24.13469838679302,50.58431503554857,94.23964220701778,-14.432414161069616,-844.4483146067416
Business Freedom,124.19732847906599,-0.027643587973134237,225.45195656267654,-49.28731040110474,104044.31275486568,163.51694808863223,127.10792888079844,7970.977103989077,0.5263365042997931,189547.41004005712,34.77794358386488,-79.28032138597702,229.8471119201556,-6.426810777728934,-174306.65065122087,164.48317745276503,193.46611731843575,100.68891030067161,50.41376655577178,139.684292326282,214.82060573724183,-3.9087040989266018,-99.89207833783192,-35.531826313476856,-4.754085744774342,57.51584344592803,104.03565877848226,0.5271351453141669,-595.9483146067413
Labor Freedom,76.44539639696184,2.3266147762224594,100.68891030067161,-23.35357391249763,65504.627967295855,77.97683761220266,60.75539419998744,2901.8728259902095,3.488277807419498,89115.03155493694,13.726700470752924,-18.679534555269605,107.49855752934532,-35.25598126294643,-167996.00647438015,68.52036909170802,105.30727449626517,194.81357165275247,40.15162952733664,-107.6970038384282,111.41452796434618,-41.89384952921976,-72.94423451133012,-14.163985311656507,24.084362877408825,8.349210954145017,44.63063712259117,3.5883497583328148,-344.3129213483144
Monetary Freedom,49.91933023664553,5.589451697947399,50.41376655577178,-13.614019207833778,8703.750845657301,74.50015692674661,67.70091143054421,-596.3169139507881,8.79151196409516,55672.35781208022,23.303408237259262,-40.84900006277072,76.95469964220705,5.95609252400979,-394098.08456795244,92.68919088569453,61.69671238465883,40.15162952733664,80.08322515849603,-130.2733594187434,80.60531667817463,-29.34273979034587,-31.33866988889587,-8.170871571150586,-12.559656016571468,22.925915316817637,27.449993095223153,2.094476178519869,-208.78426966292142
Trade Freedom,86.40667252526522,0.4934636871508382,104.03565877848226,-34.11550875651247,52100.95355671606,136.3972129809805,94.23964220701778,2584.0991169794747,2.9110702592429845,151796.0029149833,12.479121304065405,-56.18574540204638,158.81398154541446,-9.358917833155475,-85278.13917712009,140.64738560040166,113.60299479003204,44.63063712259117,27.449993095223153,-25.121469487163353,137.21847467202312,-19.49126653694054,-59.771784570962275,-56.07041303119709,-4.885983302994165,50.73372337077828,140.5062080220951,-6.425717155231938,-444.7640449438204
Investment Freedom ,169.68966166593432,-0.2561515284665125,164.48317745276503,-33.06849852488859,62883.815562017684,322.26319753938856,185.66026928629717,-1138.3663611825991,6.799559663549055,241554.02664678925,34.61927919745976,-88.69396145879105,285.4730713702843,42.96660598832464,-303105.81160080974,452.08398719477754,213.41747222396586,68.52036909170802,92.68919088569453,-492.5948719477749,259.05241353336265,15.554404306069909,-144.17017136400722,-44.14923733601156,-60.27379009478376,101.64322191418725,140.64738560040166,4.411289310150023,-828.7640449438202
Financial Freedom,159.20381645847718,0.04334316740945411,163.51694808863223,-49.53527085556463,104849.15664011154,356.9581319440086,158.6914820161948,2703.7146804971444,5.639858765928064,265396.1032549746,34.338626698369964,-76.43581696064277,277.44168602096545,19.276222459355974,-204023.47752714835,322.26319753938856,208.80578745841453,77.97683761220266,74.50015692674661,-263.2727619107401,245.2415102630092,8.543718536187319,-139.36444667629152,-44.98703785073128,-35.34103320569958,77.83823107191884,136.3972129809805,-4.920626451572401,-777.7528089887636
Tariff Rate (%),-29.094726947460916,0.12419339652250316,-35.531826313476856,12.38032803967108,-21988.442726103764,-44.98703785073128,-31.305086623564108,-1603.3639394137217,-0.6354431140543592,-53013.94084801644,-4.382500482794872,22.786392567949278,-54.620326407632916,5.288506528152663,26361.70078623125,-44.14923733601156,-37.57908511706735,-14.163985311656507,-8.170871571150586,-21.266132257862033,-45.85842665243861,10.007837025296592,18.095979536752235,24.220244178017673,0.6636152783880479,-18.51994164583844,-56.07041303119709,2.4124963906848276,153.79382022471904
Income Tax Rate (%),-2.3050298160818543,-0.48806509321448793,-6.426810777728934,65.77707014625572,56594.41423238126,19.276222459355974,22.779485437197927,5542.215759272802,-2.9908560244178015,-17514.608826956883,16.489007644687167,-35.62610711819724,53.79592257234323,180.20270682945198,29254.41912234166,42.96660598832464,32.1682237461553,-35.25598126294643,5.95609252400979,224.50508899315815,22.388922540957875,106.35843485343041,-0.641569895172933,5.288506528152663,-140.06372261628277,43.80740077632509,-9.358917833155475,-0.32878899629652886,3.979213483146072
Corporate Tax Rate (%),-34.646147134517584,-1.3713074508819278,-49.28731040110474,81.91131670328292,6717.969134477349,-49.53527085556463,-37.81314751114178,136.54509850040762,-1.9688903533990336,-77790.17537225156,-18.243857328081837,37.677391186993916,-59.06312529031448,65.77707014625572,53163.99856071621,-33.06849852488859,-40.51478344108968,-23.35357391249763,-13.614019207833778,142.00295176573974,-56.717032766304676,34.45473152532797,22.290747599020783,12.38032803967108,-56.1695586592179,-9.524129108517736,-34.11550875651247,0.11117456531291212,180.5651685393259
Tax Burden % of GDP,36.85076006205739,-4.782669543128929,57.51584344592803,-9.524129108517736,20533.351514861053,77.83823107191884,50.58431503554857,576.9363337208192,-3.2718730924325414,75976.80431269456,72.35199778456101,-144.32044705683396,123.96482239221734,43.80740077632509,-8750.604773262568,101.64322191418725,70.7622011684658,8.349210954145017,22.925915316817637,-192.72118112488312,91.37720435471546,60.16619169511983,-1.6173279315183342,-18.51994164583844,-69.49275929732151,104.20048923048917,50.73372337077828,11.976164135809206,-213.58988759585097
Gov't Expenditure % of GDP ,5.808595745047237,-7.9138910664559035,34.77794358386488,-18.243857328081837,13932.41062560514,34.338626698369964,4.285529841652865,1419.4419512234049,-8.347223855066215,65968.78562692313,163.2777156019043,-259.35397759913457,96.66438952032634,16.489007644687167,7509.33101121158,34.61927919745976,50.587081365664346,13.726700470752924,23.303408237259262,-126.10150549671934,66.5051881968287,33.43912005869886,21.783602439153427,-4.382500482794872,-42.830301535331834,72.35199778456101,12.479121304065405,20.16341444234331,-64.40556251279565
Population (Millions),-59.31947901889401,69.10426135208081,139.684292326282,142.00295176573974,1875850.5266865194,-263.2727619107401,-505.6422310652189,319217.40355675825,62.91689626900382,-148822.32834502187,-126.10150549671934,239.62773649802295,19.108092476931784,224.50508899315815,-62914.29365000929,-492.5948719477749,430.85108787270104,-107.6970038384282,-130.2733594187434,22128.206256376616,59.98751747536251,205.19989369210964,35.06629229175819,-21.266132257862033,-76.80452826564552,-192.72118112488312,-25.121469487163353,-87.95963298914069,347.59889887640486
"GDP (Billions, PPP)",3112.603182402235,463.46976083736155,7970.977103989077,136.54509850040762,54186046.02014554,2703.7146804971444,-3676.6565851107957,6943276.620813349,427.28258685908,8462515.845411662,1419.4419512234049,-2605.341073849727,9835.199168382396,5542.215759272802,-2468050.1637226176,-1138.3663611825991,14379.139227292699,2901.8728259902095,-596.3169139507881,319217.40355675825,8241.552649962334,11479.943162910895,-2848.56154001632,-1603.3639394137217,-3214.7652040581243,576.9363337208192,2584.0991169794747,-1432.6922405781186,-15534.76708426966
GDP Growth Rate (%),5.575640989266211,6.251009763982169,0.5263365042997931,-1.9688903533990336,343.96874897881827,5.639858765928064,11.712215667566381,427.28258685908,8.996099457033456,-6351.905178832872,-8.347223855066215,16.58717140480823,-1.6847661948402461,-2.9908560244178015,-110035.56822164619,6.799559663549055,2.584590876278953,3.488277807419498,8.79151196409516,62.91689626900382,4.497036899755193,-27.607162199924666,-2.233854403364508,-0.6354431140543592,5.0157763699705,-3.2718730924325414,2.9110702592429845,-2.9680083359487783,-17.148685393258422
5 Year GDP Growth Rate (%),3.235022597451511,6.494210658464626,-0.027643587973134237,-1.3713074508819278,-1855.7660254527254,0.04334316740945411,11.642287678111858,463.46976083736155,6.251009763982169,-10186.693039398031,-7.9138910664559035,16.039396145879113,-3.1557902830958504,-0.48806509321448793,-79911.43648654823,-0.2561515284665125,0.01628648546858321,2.3266147762224594,5.589451697947399,69.10426135208081,1.6363316803716035,-21.070248857573283,-3.5105109534869126,0.12419339652250316,4.428334065658154,-4.782669543128929,0.4934636871508382,-3.0477581444981485,-6.828651685393259
GDP per Capita (PPP),159628.15917529658,-10186.693039398031,189547.41004005712,-77790.17537225156,125479399.87960654,265396.1032549746,173448.08262444282,8462515.845411662,-6351.905178832872,546451798.6749378,65968.78562692313,-147511.66085413343,361467.7164602036,-17514.608826956883,-67825912.33341901,241554.02664678925,276717.20781783323,89115.03155493694,55672.35781208022,-148822.32834502187,287078.97453022393,-31837.09714871676,-133532.67205825116,-53013.94084801644,-29380.643467230555,75976.80431269456,151796.0029149833,-22232.984301509638,-806233.8914157306
Unemployment (%),-5.019732596823801,-3.0477581444981485,0.5271351453141669,0.11117456531291212,-12173.414591546607,-4.920626451572401,-14.432414161069616,-1432.6922405781186,-2.9680083359487783,-22232.984301509638,20.16341444234331,-21.120816019082284,-8.837179398656707,-0.32878899629652886,6635.8026921379715,4.411289310150023,-5.216696064277195,3.5883497583328148,2.094476178519869,-87.95963298914069,-7.401666875902332,21.735839548678683,7.8914443537756584,2.4124963906848276,-2.7323165526332307,11.976164135809206,-6.425717155231938,34.259871320067816,21.402808988764047
Inflation (%),-191798.33958401857,-79911.43648654823,-174306.65065122087,53163.99856071621,-33146589.697047025,-204023.47752714835,-363200.52758531785,-2468050.1637226176,-110035.56822164619,-67825912.33341901,7509.33101121158,-1577.096794225109,-156732.94198618413,29254.41912234166,4829609039.989246,-303105.81160080974,-174479.79686186052,-167996.00647438015,-394098.08456795244,-62914.29365000929,-247760.19245798755,620912.4341966276,60457.56183764358,26361.70078623125,-25994.995717823756,-8750.604773262568,-85278.13917712009,6635.8026921379715,465028.9320617976
FDI Inflow (Millions),61659.177730556235,-1855.7660254527254,104044.31275486568,6717.969134477349,752134489.7294707,104849.15664011154,-16940.77172815467,54186046.02014554,343.96874897881827,125479399.87960654,13932.41062560514,-31717.428610297586,142594.0612344965,56594.41423238126,-33146589.697047025,62883.815562017684,159167.7590584744,65504.627967295855,8703.750845657301,1875850.5266865194,120238.85801987087,109480.76824419903,-47278.24136413868,-21988.442726103764,-30548.93028363725,20533.351514861053,52100.95355671606,-12173.414591546607,-265692.28646535863
Public Debt (% of GDP),-48.347390600087884,-21.070248857573283,-3.9087040989266018,34.45473152532797,109480.76824419903,8.543718536187319,-415.6913126294646,11479.943162910895,-27.607162199924666,-31837.09714871676,33.43912005869886,-78.20886526269541,63.64887137342289,106.35843485343041,620912.4341966276,15.554404306069909,1.5643741949658099,-41.89384952921976,-29.34273979034587,205.19989369210964,7.95005198355407,1193.8602231122336,41.85079853744275,10.007837025296592,-89.86211492373361,60.16619169511983,-19.49126653694054,21.735839548678683,172.10114606741564
