Format,Metric,Year,Value
CD,Units,1973,
CD,Units,1974,
CD,Units,1975,
CD,Units,1976,
CD,Units,1977,
CD,Units,1978,
CD,Units,1979,
CD,Units,1980,
CD,Units,1981,
CD,Units,1982,
CD,Units,1983,0.8
CD,Units,1984,5.8
CD,Units,1985,22.6
CD,Units,1986,53
CD,Units,1987,102.1
CD,Units,1988,149.7
CD,Units,1989,207.2
CD,Units,1990,286.5
CD,Units,1991,333.3
CD,Units,1992,407.5
CD,Units,1993,495.4
CD,Units,1994,662.1
CD,Units,1995,722.9
CD,Units,1996,778.9
CD,Units,1997,753.1
CD,Units,1998,847
CD,Units,1999,938.9
CD,Units,2000,942.5
CD,Units,2001,881.9
CD,Units,2002,803.3
CD,Units,2003,746
CD,Units,2004,767
CD,Units,2005,705.4
CD,Units,2006,619.7
CD,Units,2007,499.7
CD,Units,2008,368.4
CD,Units,2009,296.6
CD,Units,2010,253
CD,Units,2011,240.8
CD,Units,2012,198.1643872
CD,Units,2013,173.7933029
CD,Units,2014,138.7023634
CD,Units,2015,117.1440518
CD,Units,2016,97.5770712
CD,Units,2017,87.68249997
CD,Units,2018,51.95427564
CD,Units,2019,46.50649558
CD Single,Units,1973,
CD Single,Units,1974,
CD Single,Units,1975,
CD Single,Units,1976,
CD Single,Units,1977,
CD Single,Units,1978,
CD Single,Units,1979,
CD Single,Units,1980,
CD Single,Units,1981,
CD Single,Units,1982,
CD Single,Units,1983,
CD Single,Units,1984,
CD Single,Units,1985,
CD Single,Units,1986,
CD Single,Units,1987,
CD Single,Units,1988,1.6
CD Single,Units,1989,-0.1
CD Single,Units,1990,1.1
CD Single,Units,1991,5.7
CD Single,Units,1992,7.3
CD Single,Units,1993,7.8
CD Single,Units,1994,9.3
CD Single,Units,1995,21.5
CD Single,Units,1996,43.2
CD Single,Units,1997,66.7
CD Single,Units,1998,56
CD Single,Units,1999,55.9
CD Single,Units,2000,34.2
CD Single,Units,2001,17.3
CD Single,Units,2002,4.5
CD Single,Units,2003,8.3
CD Single,Units,2004,3.1
CD Single,Units,2005,2.8
CD Single,Units,2006,1.7
CD Single,Units,2007,2.6
CD Single,Units,2008,0.7
CD Single,Units,2009,0.9
CD Single,Units,2010,1
CD Single,Units,2011,1.3
CD Single,Units,2012,1.072870407
CD Single,Units,2013,0.628895398
CD Single,Units,2014,0.928725116
CD Single,Units,2015,0.386721563
CD Single,Units,2016,0.121745255
CD Single,Units,2017,0.13261663
CD Single,Units,2018,0.020854078
CD Single,Units,2019,0.026257455
Cassette,Units,1973,15
Cassette,Units,1974,15.3
Cassette,Units,1975,16.2
Cassette,Units,1976,21.8
Cassette,Units,1977,36.9
Cassette,Units,1978,61.3
Cassette,Units,1979,78.5
Cassette,Units,1980,99
Cassette,Units,1981,124
Cassette,Units,1982,183.2
Cassette,Units,1983,236.8
Cassette,Units,1984,332
Cassette,Units,1985,339.1
Cassette,Units,1986,344.5
Cassette,Units,1987,410
Cassette,Units,1988,450.1
Cassette,Units,1989,446.2
Cassette,Units,1990,442.2
Cassette,Units,1991,360.1
Cassette,Units,1992,366.4
